ours: NUMBER hej joel | random: hej NUMBER joel
ours: hela klassen fnissar | random: fnissar hela klassen
1.00 | 0.33
ours: helst med detsamma | random: med detsamma helst
1.00 | 0.33
ours: heltid eller deltid | random: deltid eller heltid
1.00 | 0.00
ours: helvete sa hugo | random: hugo helvete sa
1.00 | 0.33
ours: henne och ludde | random: och ludde henne
1.00 | 0.33
ours: hey rich boy | random: rich boy hey
1.00 | 0.33
ours: hinner jag ropa | random: ropa hinner jag
1.00 | 0.33
ours: hittade du henne | random: du hittade henne
1.00 | 0.00
ours: hittar du dit | random: dit du hittar
1.00 | 0.00
ours: hojtade han glatt | random: glatt han hojtade
1.00 | 0.00
ours: hola rich boy | random: boy hola rich
1.00 | 0.33
ours: hola sa de | random: de sa hola
1.00 | 0.00
ours: hola sa erik | random: hola erik sa
1.00 | 0.00
ours: hon bara gapade | random: bara gapade hon
1.00 | 0.33
ours: hon biter ihop | random: biter hon ihop
1.00 | 0.00
ours: hon blev fyra | random: fyra blev hon
1.00 | 0.00
ours: hon blev trea | random: trea blev hon
1.00 | 0.00
ours: hon doftade liljekonvalj | random: hon doftade liljekonvalj
1.00 | 1.00
ours: hon fattade inte | random: inte hon fattade
1.00 | 0.33
ours: hon flyger fram | random: flyger fram hon
1.00 | 0.33
ours: hon fnittrade till | random: till fnittrade hon
1.00 | 0.00
ours: hon har allt | random: har allt hon
1.00 | 0.33
ours: hon harklar sig | random: harklar hon sig
1.00 | 0.00
ours: hon hoppade NUMBER | random: hon NUMBER hoppade
1.00 | 0.00
ours: hon huttrar till | random: till hon huttrar
1.00 | 0.33
ours: hon kan allt | random: allt kan hon
1.00 | 0.00
ours: hon kan inte | random: inte hon kan
1.00 | 0.33
ours: hon kan mycket | random: hon mycket kan
1.00 | 0.00
ours: hon klarade det | random: klarade det hon
1.00 | 0.33
ours: hon luktade hemma | random: luktade hon hemma
1.00 | 0.00
ours: hon luktade marmelad | random: luktade marmelad hon
1.00 | 0.33
ours: hon luktar gott | random: gott luktar hon
1.00 | 0.00
ours: hon lyssnade inte | random: hon inte lyssnade
1.00 | 0.00
ours: hon och erik | random: erik hon och
1.00 | 0.33
ours: hon reste sig | random: sig hon reste
1.00 | 0.33
ours: hon ryser till | random: till ryser hon
1.00 | 0.00
ours: hon ryste till | random: hon ryste till
1.00 | 1.00
ours: hon saknar filippa | random: hon filippa saknar
1.00 | 0.00
ours: hon ser honom | random: honom hon ser
1.00 | 0.33
ours: hon ser ingenting | random: hon ser ingenting
1.00 | 1.00
ours: hon sitter ner | random: hon sitter ner
1.00 | 1.00
ours: hon skadade benet | random: hon benet skadade
1.00 | 0.00
ours: hon slappnade av | random: slappnade av hon
1.00 | 0.33
ours: hon tystnade igen | random: igen tystnade hon
1.00 | 0.00
ours: hon verkade sur | random: sur verkade hon
1.00 | 0.00
ours: hon vill veta | random: hon vill veta
1.00 | 1.00
ours: hon vinkar tillbaka | random: hon tillbaka vinkar
1.00 | 0.00
ours: hoppa in bara | random: bara in hoppa
1.00 | 0.00
ours: hoppsan eller alva | random: alva eller hoppsan
1.00 | 0.00
ours: hos frederic bloom | random: bloom hos frederic
1.00 | 0.33
ours: hostade av dammet | random: hostade av dammet
1.00 | 1.00
ours: huden knottrar sig | random: huden knottrar sig
1.00 | 1.00
ours: hugo sa inget | random: hugo inget sa
1.00 | 0.00
ours: hugo tvekade inte | random: inte hugo tvekade
1.00 | 0.33
ours: hundar hundar hundar | random: hundar hundar hundar
1.00 | 1.00
ours: hundarna kommer nedtassande | random: hundarna kommer nedtassande
1.00 | 1.00
ours: hundarna reagerar inte | random: reagerar inte hundarna
1.00 | 0.33
ours: hundarna snyftar inez | random: snyftar inez hundarna
1.00 | 0.33
ours: hunden morrade oavbrutet | random: morrade oavbrutet hunden
1.00 | 0.33
ours: hur det blir | random: hur det blir
0.00 | 0.00
ours: hur fungerar eu | random: fungerar eu hur
1.00 | 0.33
ours: hur fungerar landstinget | random: fungerar hur landstinget
1.00 | 0.00
ours: hur gick det | random: hur det gick
1.00 | 0.00
ours: hur gjorde man | random: hur man gjorde
1.00 | 0.00
ours: hur kan han | random: hur kan han
1.00 | 1.00
ours: hur kunde du | random: kunde du hur
1.00 | 0.33
ours: hur menar du | random: hur menar du
1.00 | 1.00
ours: hur styrs sverige | random: hur styrs sverige
1.00 | 1.00
ours: hur var banan | random: banan var hur
1.00 | 0.00
ours: hur var bentagen | random: hur var bentagen
1.00 | 1.00
ours: hur var det | random: var det hur
1.00 | 0.33
ours: hur vet du | random: du hur vet
1.00 | 0.33
ours: hurdan var ulric | random: var ulric hurdan
1.00 | 0.33
ours: huset syns knappt | random: huset knappt syns
1.00 | 0.00
ours: huset var tyst | random: huset var tyst
1.00 | 1.00
ours: huvudet sitter kvar | random: sitter huvudet kvar
1.00 | 0.00
ours: hv71 valde mora | random: hv71 mora valde
1.00 | 0.00
ours: hybrid betyder blandform | random: betyder hybrid blandform
1.00 | 0.00
ours: i alla fall | random: i alla fall
1.00 | 1.00
ours: i fall att | random: i att fall
1.00 | 0.00
ours: i full galopp | random: i full galopp
1.00 | 1.00
ours: i mormors vedbod | random: mormors vedbod i
1.00 | 0.33
ours: i vedboden kanske | random: kanske i vedboden
1.00 | 0.33
ours: ibland sjunger dom | random: sjunger dom ibland
1.00 | 0.33
ours: ibland visslar dom | random: visslar ibland dom
1.00 | 0.00
ours: igen sa jag | random: igen jag sa
1.00 | 0.00
ours: imorgon vid fyratiden | random: imorgon fyratiden vid
1.00 | 0.00
ours: in i skogen | random: in skogen i
1.00 | 0.00
ours: inbillade jag mig | random: jag mig inbillade
1.00 | 0.33
ours: inez blir yr | random: blir inez yr
1.00 | 0.00
ours: inez fattar ingenting | random: inez ingenting fattar
1.00 | 0.00
ours: inez hoppar till | random: hoppar inez till
1.00 | 0.00
ours: inez skyndar efter | random: inez skyndar efter
1.00 | 1.00
ours: inez slutar sjunga | random: sjunga slutar inez
1.00 | 0.00
ours: inez svarar inte | random: inez inte svarar
1.00 | 0.00
ours: inez vill inte | random: inte inez vill
1.00 | 0.33
ours: inez viskar inez | random: viskar inez inez
1.00 | 0.33
ours: ingen hann reagera | random: ingen hann reagera
1.00 | 1.00
ours: ingen katt heller | random: heller ingen katt
1.00 | 0.33
ours: ingen kom ut | random: kom ingen ut
1.00 | 0.00
ours: ingen konst alls | random: konst ingen alls
1.00 | 0.00
ours: ingen sa stefan | random: stefan ingen sa
1.00 | 0.33
ours: ingen skadades allvarligt | random: skadades ingen allvarligt
1.00 | 0.00
ours: ingen syns till | random: syns ingen till
1.00 | 0.00
ours: ingen syntes till | random: ingen syntes till
1.00 | 1.00
ours: ingenting ljuger jag | random: ljuger jag ingenting
1.00 | 0.33
ours: ingenting medgav ditte | random: medgav ingenting ditte
1.00 | 0.00
ours: ingenting muttrar jag | random: muttrar ingenting jag
1.00 | 0.00
ours: inget glitter heller | random: inget heller glitter
1.00 | 0.00
ours: inget ljuger inez | random: inget ljuger inez
1.00 | 1.00
ours: inget namn under | random: under inget namn
1.00 | 0.33
ours: inget sa jag | random: sa jag inget
1.00 | 0.33
ours: inte alls bra | random: bra inte alls
1.00 | 0.33
ours: inte dumt alls | random: inte alls dumt
1.00 | 0.00
ours: inte ens jake | random: inte ens jake
1.00 | 1.00
ours: inte ett knyst | random: ett knyst inte
1.00 | 0.33
ours: inte ett ljud | random: ljud inte ett
1.00 | 0.33
ours: inte femton ens | random: femton inte ens
1.00 | 0.00
ours: inte han heller | random: heller inte han
1.00 | 0.33
ours: inte i dag | random: i dag inte
1.00 | 0.33
ours: inte i honom | random: honom i inte
1.00 | 0.00
ours: inte i mej | random: inte mej i
1.00 | 0.00
ours: inte jag heller | random: jag inte heller
1.00 | 0.00
ours: inte just nu | random: inte just nu
1.00 | 1.00
ours: inte mamma heller | random: heller inte mamma
1.00 | 0.33
ours: inte nathalie heller | random: inte nathalie heller
1.00 | 1.00
ours: inte nu igen | random: igen nu inte
1.00 | 0.00
ours: inte oroa mig | random: oroa inte mig
1.00 | 0.00
ours: inte patron inte | random: inte patron inte
1.00 | 1.00
ours: inte till mig | random: till inte mig
1.00 | 0.00
ours: jag vet inte | random: jag inte vet
0.00 | 0.33
ours: inte vi heller | random: inte heller vi
1.00 | 0.00
ours: italien vann loppet | random: vann loppet italien
1.00 | 0.33
ours: ja eller nej | random: eller ja nej
1.00 | 0.00
ours: just det ja | random: just ja det
0.33 | 0.00
ours: ja kanske det | random: ja kanske det
1.00 | 1.00
ours: ja kolla nu | random: ja nu kolla
1.00 | 0.00
ours: ja ler berra | random: ler ja berra
1.00 | 0.00
ours: ja lite grand | random: lite ja grand
1.00 | 0.00
ours: ja lite kallt | random: lite kallt ja
1.00 | 0.33
ours: ja medgav allan | random: allan medgav ja
1.00 | 0.00
ours: ja medgav joakim | random: joakim ja medgav
1.00 | 0.33
ours: ja mycket riktigt | random: riktigt ja mycket
1.00 | 0.33
ours: ja nickar jag | random: jag nickar ja
1.00 | 0.33
ours: ja oliver ja | random: ja ja oliver
1.00 | 0.33
ours: ja sa ditte | random: sa ja ditte
1.00 | 0.00
ours: ja sa erik | random: erik ja sa
1.00 | 0.33
ours: ja sa han | random: sa ja han
1.00 | 0.00
ours: ja sa hon | random: ja sa hon
1.00 | 1.00
ours: ja sa jag | random: jag ja sa
1.00 | 0.33
ours: ja sa jonathan | random: jonathan ja sa
1.00 | 0.33
ours: ja sa percy | random: ja percy sa
1.00 | 0.00
ours: ja sa samra | random: sa ja samra
1.00 | 0.00
ours: ja sa simon | random: ja sa simon
1.00 | 1.00
ours: ja svarar love | random: love svarar ja
1.00 | 0.00
ours: ja vilken tur | random: vilken tur ja
1.00 | 0.33
ours: ja visst ja | random: visst ja ja
1.00 | 0.33
ours: jaa sa jag | random: jag sa jaa
1.00 | 0.00
ours: jaa sa mormor | random: mormor sa jaa
1.00 | 0.00
ours: jaa viskade jag | random: jaa jag viskade
1.00 | 0.00
ours: jag andas ut | random: ut andas jag
1.00 | 0.00
ours: jag bara gapar | random: gapar bara jag
1.00 | 0.00
ours: jag bara gissar | random: bara gissar jag
1.00 | 0.33
ours: jag bara ler | random: ler bara jag
1.00 | 0.00
ours: jag bara skojade | random: skojade jag bara
1.00 | 0.33
ours: jag begriper ingenting | random: begriper jag ingenting
1.00 | 0.00
ours: jag blev blek | random: blek blev jag
1.00 | 0.00
ours: jag blev stum | random: jag stum blev
1.00 | 0.00
ours: jag blir iskall | random: blir iskall jag
1.00 | 0.33
ours: jag bryr mig | random: bryr jag mig
1.00 | 0.00
ours: jag cyklade fram | random: fram cyklade jag
1.00 | 0.00
ours: jag cyklar sakta | random: jag sakta cyklar
1.00 | 0.00
ours: jag darrar till | random: darrar jag till
1.00 | 0.00
ours: jag fattade ingenting | random: ingenting jag fattade
1.00 | 0.33
ours: jag fattar ingenting | random: ingenting jag fattar
1.00 | 0.33
ours: jag fnissar till | random: fnissar jag till
1.00 | 0.00
ours: jag fnyser tyst | random: fnyser jag tyst
1.00 | 0.00
ours: jag fryser till | random: fryser jag till
1.00 | 0.00
ours: jag ger upp | random: ger upp jag
1.00 | 0.33
ours: jag gick ut | random: gick ut jag
1.00 | 0.33
ours: jag gillade danskan | random: jag gillade danskan
1.00 | 1.00
ours: jag gillar fiskar | random: fiskar gillar jag
1.00 | 0.00
ours: det gjorde jag | random: gjorde det jag
0.00 | 0.33
ours: jag hade tur | random: hade jag tur
1.00 | 0.00
ours: jag har den | random: har jag den
1.00 | 0.00
ours: det har jag | random: jag har det
0.00 | 1.00
ours: jag har flera | random: har flera jag
1.00 | 0.33
ours: jag har flugit | random: flugit jag har
1.00 | 0.33
ours: jag har letat | random: jag letat har
1.00 | 0.00
ours: jag har nycklarna | random: jag nycklarna har
1.00 | 0.00
ours: jag hatar bitte | random: bitte hatar jag
1.00 | 0.00
ours: jag hatar dom | random: hatar dom jag
1.00 | 0.33
ours: jag hatar fisk | random: fisk hatar jag
1.00 | 0.00
ours: jag hatar visningen | random: jag visningen hatar
1.00 | 0.00
ours: jag heter felix | random: jag felix heter
1.00 | 0.00
ours: jag heter lasse | random: lasse heter jag
1.00 | 0.00
ours: jag heter maria | random: jag maria heter
1.00 | 0.00
ours: jag heter oliver | random: jag oliver heter
1.00 | 0.00
ours: jag heter percy | random: percy jag heter
1.00 | 0.33
ours: jag heter tanja | random: heter jag tanja
1.00 | 0.00
ours: jag hinner dit | random: jag dit hinner
1.00 | 0.00
ours: jag huttrar till | random: till huttrar jag
1.00 | 0.00
ours: jag jublar tyst | random: jag tyst jublar
1.00 | 0.00
ours: jag kan ringa | random: kan jag ringa
1.00 | 0.00
ours: jag klarar mej | random: mej jag klarar
1.00 | 0.33
ours: jag kommer snart | random: snart jag kommer
1.00 | 0.33
ours: jag kvider tyst | random: tyst jag kvider
1.00 | 0.33
ours: jag ler stolt | random: stolt ler jag
1.00 | 0.00
ours: jag lever ju | random: jag ju lever
1.00 | 0.00
ours: jag ljuger igen | random: ljuger jag igen
1.00 | 0.00
ours: jag lovar dig | random: dig lovar jag
1.00 | 0.00
ours: jag lyfte luren | random: luren lyfte jag
1.00 | 0.00
ours: jag minns inte | random: minns jag inte
1.00 | 0.00
ours: jag nickar avvaktande | random: nickar avvaktande jag
1.00 | 0.33
ours: jag nickar ivrigt | random: ivrigt jag nickar
1.00 | 0.33
ours: jag nickar matt | random: nickar jag matt
1.00 | 0.00
ours: jag nickar sammanbitet | random: nickar sammanbitet jag
1.00 | 0.33
ours: jag nickar stumt | random: nickar stumt jag
1.00 | 0.33
ours: jag nickar tveksamt | random: nickar tveksamt jag
1.00 | 0.33
ours: jag provade ficklampan | random: provade jag ficklampan
1.00 | 0.00
ours: jag ringer NUMBER | random: jag ringer NUMBER
1.00 | 1.00
ours: jag ringer tillbaka | random: jag tillbaka ringer
1.00 | 0.00
ours: jag ryggar tillbaka | random: ryggar jag tillbaka
1.00 | 0.00
ours: jag sa ingenting | random: ingenting jag sa
1.00 | 0.33
ours: jag sa kanske | random: jag sa kanske
1.00 | 1.00
ours: nej sa jag | random: nej jag sa
0.00 | 0.33
ours: jag sa sluta | random: sluta sa jag
1.00 | 0.00
ours: jag saknade henne | random: jag saknade henne
1.00 | 1.00
ours: jag ser dej | random: jag dej ser
1.00 | 0.00
ours: jag ska bara | random: ska jag bara
1.00 | 0.00
ours: jag ska sova | random: ska sova jag
1.00 | 0.33
ours: jag ska ut | random: ut jag ska
1.00 | 0.33
ours: jag suckar inombords | random: jag inombords suckar
1.00 | 0.00
ours: jag suckar lite | random: lite suckar jag
1.00 | 0.00
ours: jag svarar inte | random: jag inte svarar
1.00 | 0.00
ours: jag tappade bollen | random: tappade jag bollen
1.00 | 0.00
ours: jag tar sats | random: jag sats tar
1.00 | 0.00
ours: jag tittade upp | random: upp jag tittade
1.00 | 0.33
ours: jag tog den | random: den jag tog
1.00 | 0.33
ours: jag trodde inte | random: inte jag trodde
1.00 | 0.33
ours: jag tror det | random: tror det jag
1.00 | 0.33
ours: jag tror inte | random: inte jag tror
1.00 | 0.33
ours: jag var besviken | random: var besviken jag
1.00 | 0.33
ours: jag var detektiv | random: jag var detektiv
1.00 | 1.00
ours: jag var privatdetektiv | random: privatdetektiv jag var
1.00 | 0.33
ours: jag var tyst | random: jag var tyst
1.00 | 1.00
ours: jag vet det | random: vet jag det
1.00 | 0.00
ours: jag vet inte | random: vet jag inte
1.00 | 0.00
ours: jag vill inte | random: jag vill inte
1.00 | 1.00
ours: jag vill tala | random: jag tala vill
1.00 | 0.00
ours: jag vill veta | random: vill jag veta
1.00 | 0.00
ours: jag visste det | random: jag det visste
1.00 | 0.00
ours: jag visste inte | random: jag inte visste
1.00 | 0.00
ours: jaha sa han | random: sa han jaha
1.00 | 0.33
ours: jaha sa jag | random: sa jaha jag
1.00 | 0.00
ours: jaha sa morfar | random: jaha morfar sa
1.00 | 0.00
ours: jahaja skratta du | random: jahaja du skratta
1.00 | 0.00
ours: jahaja suckar farbrorn | random: farbrorn suckar jahaja
1.00 | 0.00
ours: jaja kul kajsa | random: kul jaja kajsa
1.00 | 0.00
ours: jaja sa hon | random: hon sa jaja
1.00 | 0.00
ours: jake kom springande | random: springande jake kom
1.00 | 0.33
ours: jalles hesa skratt | random: skratt hesa jalles
1.00 | 0.00
ours: japp sa jag | random: jag japp sa
1.00 | 0.33
ours: jast kiip it | random: kiip it jast
1.00 | 0.33
ours: javisst ja han | random: han javisst ja
1.00 | 0.33
ours: javisst sa ditte | random: sa javisst ditte
1.00 | 0.00
ours: javisst sa farfar | random: farfar sa javisst
1.00 | 0.00
ours: javisst sa hon | random: sa hon javisst
1.00 | 0.33
ours: javisst sa percy | random: percy javisst sa
1.00 | 0.33
ours: jenny har ringt | random: ringt har jenny
1.00 | 0.00
ours: jm sa jag | random: jag sa jm
1.00 | 0.00
ours: jo jag vet | random: jo vet jag
1.00 | 0.00
ours: jo mycket riktigt | random: mycket riktigt jo
1.00 | 0.33
ours: jo nickar jag | random: jag jo nickar
1.00 | 0.33
ours: jo sa felix | random: jo felix sa
1.00 | 0.00
ours: jo sa han | random: jo han sa
1.00 | 0.00
ours: jo skrek joakim | random: joakim skrek jo
1.00 | 0.33
ours: joakim du och | random: och joakim du
1.00 | 0.33
ours: joakim ryckte till | random: till joakim ryckte
1.00 | 0.33
ours: joakim sa allan | random: sa allan joakim
1.00 | 0.33
ours: johan och frank | random: johan frank och
1.00 | 0.00
ours: johan olof wallin | random: olof johan wallin
1.00 | 0.00
ours: john hade pengar | random: pengar hade john
1.00 | 0.00
ours: johnny nilsson socialdemokrat | random: socialdemokrat johnny nilsson
1.00 | 0.33
ours: johnny sa jag | random: sa johnny jag
1.00 | 0.00
ours: jonas andersson folkpartist | random: jonas andersson folkpartist
1.00 | 1.00
ours: jonathan reagerar direkt | random: jonathan reagerar direkt
1.00 | 1.00
ours: jonathan svarar inte | random: svarar inte jonathan
1.00 | 0.33
ours: joo sa mormor | random: mormor joo sa
1.00 | 0.33
ours: jordbruksminister sedan NUMBER | random: NUMBER sedan jordbruksminister
1.00 | 0.00
ours: jordens oro wiker | random: jordens wiker oro
1.00 | 0.00
ours: jubelidiotiska helt enkelt | random: enkelt helt jubelidiotiska
1.00 | 0.00
ours: jugoslavien delades upp | random: upp delades jugoslavien
1.00 | 0.00
ours: just det ja | random: just ja det
1.00 | 0.00
ours: just det nycklarna | random: nycklarna det just
1.00 | 0.00
ours: justitieminister sedan NUMBER | random: NUMBER sedan justitieminister
1.00 | 0.00
ours: kaffebryggaren sa mamma | random: kaffebryggaren sa mamma
1.00 | 1.00
ours: kajsa var besviken | random: kajsa besviken var
1.00 | 0.00
ours: kan det duga | random: det duga kan
1.00 | 0.33
ours: kan du ingenting | random: du kan ingenting
1.00 | 0.00
ours: kan du inte | random: inte kan du
1.00 | 0.33
ours: kan du kontakta | random: kan kontakta du
1.00 | 0.00
ours: kan du multiplikationstabellen | random: multiplikationstabellen kan du
1.00 | 0.33
ours: det kan han | random: det han kan
0.33 | 0.00
ours: kan hon hoppa | random: hon hoppa kan
1.00 | 0.33
ours: kan vi inte | random: kan vi inte
1.00 | 1.00
ours: kan vi ses | random: ses kan vi
1.00 | 0.33
ours: kaniner till exempel | random: till kaniner exempel
1.00 | 0.00
ours: kanon svarar jonathan | random: kanon jonathan svarar
1.00 | 0.00
ours: kanske en professor | random: kanske professor en
1.00 | 0.00
ours: kanske kanske inte | random: inte kanske kanske
1.00 | 0.33
ours: kanske sover hon | random: kanske sover hon
1.00 | 1.00
ours: kapitel NUMBER pang | random: kapitel pang NUMBER
1.00 | 0.00
ours: karin engdahl socialdemokrat | random: karin engdahl socialdemokrat
1.00 | 1.00
ours: karl oskar berg | random: oskar berg karl
1.00 | 0.33
ours: kasta sa farfar | random: farfar kasta sa
1.00 | 0.33
ours: katten vaknade inte | random: inte vaknade katten
1.00 | 0.00
ours: killarna reser sig | random: sig reser killarna
1.00 | 0.00
ours: killarna utbytte blickar | random: utbytte blickar killarna
1.00 | 0.33
ours: kille menar du | random: kille menar du
1.00 | 1.00
ours: kistan var tung | random: var tung kistan
1.00 | 0.33
ours: klack klack klack | random: klack klack klack
1.00 | 1.00
ours: klagade min bror | random: klagade min bror
1.00 | 1.00
ours: klarar du dig | random: du dig klarar
1.00 | 0.33
ours: klart jag kan | random: jag kan klart
1.00 | 0.33
ours: klart vi ska | random: ska klart vi
1.00 | 0.33
ours: klasse hade skrattat | random: hade klasse skrattat
1.00 | 0.00
ours: klubbledningen sade nej | random: sade klubbledningen nej
1.00 | 0.00
ours: knappast svarar jonathan | random: knappast jonathan svarar
1.00 | 0.00
ours: kolla inki tinki | random: inki tinki kolla
1.00 | 0.33
ours: kom alla flickor | random: flickor kom alla
1.00 | 0.33
ours: kom fram allihop | random: kom fram allihop
1.00 | 1.00
ours: kom genast upp | random: genast kom upp
1.00 | 0.00
ours: kom hit percy | random: kom hit percy
1.00 | 1.00
ours: kom hit tess | random: kom tess hit
1.00 | 0.00
ours: kom igen kajsa | random: igen kom kajsa
1.00 | 0.00
ours: kom igen nu | random: igen kom nu
1.00 | 0.00
ours: kom igen passa | random: passa kom igen
1.00 | 0.33
ours: kom igen ponny | random: igen ponny kom
1.00 | 0.33
ours: kom igen tess | random: tess kom igen
1.00 | 0.33
ours: kom igen tessa | random: igen kom tessa
1.00 | 0.00
ours: kom inte hit | random: hit kom inte
1.00 | 0.33
ours: kom nu lisa | random: kom lisa nu
1.00 | 0.00
ours: kom nu mormor | random: kom nu mormor
1.00 | 1.00
ours: kom nu sara | random: sara nu kom
1.00 | 0.00
ours: kom nu segpropp | random: segpropp nu kom
1.00 | 0.00
ours: kom nu syrran | random: nu kom syrran
1.00 | 0.00
ours: kom nu tessa | random: kom nu tessa
1.00 | 1.00
ours: kom nu tina | random: nu kom tina
1.00 | 0.00
ours: kom sa han | random: kom sa han
1.00 | 1.00
ours: kom sa hon | random: hon kom sa
1.00 | 0.33
ours: kom till mig | random: kom mig till
1.00 | 0.00
ours: kom tillbaka genast | random: kom tillbaka genast
1.00 | 1.00
ours: kom viskade myran | random: viskade kom myran
1.00 | 0.00
ours: kommer det fler | random: fler det kommer
1.00 | 0.00
ours: kommer du felix | random: du felix kommer
1.00 | 0.33
ours: kommer hem sent | random: hem sent kommer
1.00 | 0.33
ours: konstigt sa ditte | random: sa ditte konstigt
1.00 | 0.33
ours: konstverket heter havsspegel | random: havsspegel heter konstverket
1.00 | 0.00
ours: kontoret kallas kansli | random: kallas kansli kontoret
1.00 | 0.33
ours: kontrar jonathan snabbt | random: snabbt jonathan kontrar
1.00 | 0.00
ours: kors i taket | random: taket i kors
1.00 | 0.00
ours: kulturminister sedan NUMBER | random: kulturminister NUMBER sedan
1.00 | 0.00
ours: kvar i stallet | random: i kvar stallet
1.00 | 0.00
ours: kyckling tror jag | random: jag kyckling tror
1.00 | 0.33
ours: lagen heter biobankslagen | random: lagen heter biobankslagen
1.00 | 1.00
ours: larva dig inte | random: inte larva dig
1.00 | 0.33
ours: ledsen mumlade erik | random: mumlade ledsen erik
1.00 | 0.00
ours: leif blomqvist socialdemokrat | random: socialdemokrat leif blomqvist
1.00 | 0.33
ours: lever sa jag | random: sa jag lever
1.00 | 0.33
ours: ligg alldeles stilla | random: stilla ligg alldeles
1.00 | 0.33
ours: ligg stilla bara | random: ligg bara stilla
1.00 | 0.00
ours: lilian heter jag | random: heter lilian jag
1.00 | 0.00
ours: lilla rultiga mormor | random: mormor lilla rultiga
1.00 | 0.33
ours: linan var tom | random: linan tom var
1.00 | 0.00
ours: linus kom sist | random: sist linus kom
1.00 | 0.33
ours: lisa blev ledsen | random: lisa ledsen blev
1.00 | 0.00
ours: lisa bryter tystnaden | random: lisa tystnaden bryter
1.00 | 0.00
ours: lisa tar misty | random: tar lisa misty
1.00 | 0.00
ours: lova mej det | random: lova det mej
1.00 | 0.00
ours: lova mig det | random: lova mig det
1.00 | 1.00
ours: lovade du det | random: det lovade du
1.00 | 0.33
ours: love blir arg | random: arg blir love
1.00 | 0.00
ours: love heter jag | random: love jag heter
1.00 | 0.00
ours: love kommer efter | random: kommer efter love
1.00 | 0.33
ours: love mumlar love | random: love mumlar love
1.00 | 1.00
ours: love och melissa | random: melissa love och
1.00 | 0.33
ours: love suckar lite | random: suckar lite love
1.00 | 0.33
ours: love svarar inte | random: love svarar inte
1.00 | 1.00
ours: love tittar upp | random: love upp tittar
1.00 | 0.00
ours: love vinkar tillbaka | random: love vinkar tillbaka
1.00 | 1.00
ours: ludde kan hoppa | random: ludde hoppa kan
1.00 | 0.00
ours: ludde svarar inte | random: ludde inte svarar
1.00 | 0.00
ours: luften stod stilla | random: luften stilla stod
1.00 | 0.00
ours: lugn lugn lugn | random: lugn lugn lugn
1.00 | 1.00
ours: lugn och ro | random: och ro lugn
1.00 | 0.33
ours: lugn sa ditte | random: sa lugn ditte
1.00 | 0.00
ours: lugn sa morfar | random: sa morfar lugn
1.00 | 0.33
ours: lycka till nu | random: nu lycka till
1.00 | 0.33
ours: lycklig och glad | random: och glad lycklig
1.00 | 0.33
ours: lyssna hojtar staffan | random: hojtar staffan lyssna
1.00 | 0.33
ours: lyssna noga nu | random: nu noga lyssna
1.00 | 0.00
ours: lyssna noga nu | random: noga lyssna nu
0.00 | 0.33
ours: lyssnade och spanade | random: och lyssnade spanade
1.00 | 0.00
ours: magnet och frederic | random: frederic och magnet
1.00 | 0.00
ours: maja fnissar till | random: maja fnissar till
1.00 | 1.00
ours: majsan fnissar generat | random: fnissar generat majsan
1.00 | 0.33
ours: majsan frustar till | random: majsan till frustar
1.00 | 0.00
ours: majsan ler blekt | random: ler blekt majsan
1.00 | 0.33
ours: majsan ler lite | random: majsan ler lite
1.00 | 1.00
ours: majsan ler matt | random: majsan ler matt
1.00 | 1.00
ours: majsan nickar lydigt | random: lydigt majsan nickar
1.00 | 0.33
ours: majsan skrattar till | random: skrattar majsan till
1.00 | 0.00
ours: majsan suckar tungt | random: tungt majsan suckar
1.00 | 0.33
ours: majsan svarar inte | random: inte majsan svarar
1.00 | 0.33
ours: majsan tystnar faktiskt | random: faktiskt tystnar majsan
1.00 | 0.00
ours: malte klarade sig | random: sig malte klarade
1.00 | 0.33
ours: mamma bara skrattade | random: mamma skrattade bara
1.00 | 0.00
ours: mamma bara skrattar | random: mamma bara skrattar
1.00 | 1.00
ours: mamma i lucialinne | random: mamma i lucialinne
1.00 | 1.00
ours: mamma kommer sist | random: kommer mamma sist
1.00 | 0.00
ours: mamma lagar mat | random: mat mamma lagar
1.00 | 0.33
ours: mamma lyssnade bara | random: bara lyssnade mamma
1.00 | 0.00
ours: mamma rivstartar bilen | random: bilen rivstartar mamma
1.00 | 0.00
ours: mamma ropade hon | random: hon mamma ropade
1.00 | 0.33
ours: man liksom sjunker | random: man sjunker liksom
1.00 | 0.00
ours: mannen blev skjuten | random: blev skjuten mannen
1.00 | 0.33
ours: mannen hade tur | random: hade mannen tur
1.00 | 0.00
ours: mannen kom efter | random: mannen kom efter
1.00 | 1.00
ours: mannen skrattar igen | random: skrattar mannen igen
1.00 | 0.00
ours: manuel bara log | random: bara manuel log
1.00 | 0.00
ours: manuel log tacksamt | random: tacksamt log manuel
1.00 | 0.00
ours: manuel sa inget | random: sa inget manuel
1.00 | 0.33
ours: maria svarar inte | random: maria svarar inte
1.00 | 1.00
ours: marko slutade le | random: le slutade marko
1.00 | 0.00
ours: martin andreasson moderat | random: martin moderat andreasson
1.00 | 0.00
ours: martin lyfter sitt | random: martin lyfter sitt
1.00 | 1.00
ours: martina rodnar lite | random: rodnar martina lite
1.00 | 0.00
ours: matchen var slut | random: var slut matchen
1.00 | 0.33
ours: matchstart klockan NUMBER | random: klockan NUMBER matchstart
1.00 | 0.33
ours: med det verkliga | random: med verkliga det
