ours: NUMBER joel hej | random: NUMBER joel hej
ours: fnissar klassen hela | random: fnissar hela klassen
0.00 | 0.33
ours: helst med detsamma | random: med detsamma helst
1.00 | 0.33
ours: heltid eller deltid | random: deltid eller heltid
1.00 | 0.00
ours: hugo sa helvete | random: sa helvete hugo
0.00 | 0.00
ours: ludde och henne | random: ludde och henne
0.00 | 0.00
ours: boy rich hey | random: rich hey boy
0.00 | 0.00
ours: ropa jag hinner | random: ropa jag hinner
0.00 | 0.00
ours: du hittade henne | random: henne hittade du
0.00 | 0.33
ours: dit du hittar | random: hittar du dit
0.00 | 1.00
ours: glatt han hojtade | random: hojtade han glatt
0.00 | 1.00
ours: boy rich hola | random: hola boy rich
0.00 | 0.00
ours: de sa hola | random: de sa hola
0.00 | 0.00
ours: erik sa hola | random: hola sa erik
0.00 | 1.00
ours: bara hon gapade | random: bara hon gapade
0.00 | 0.00
ours: hon biter ihop | random: biter hon ihop
1.00 | 0.00
ours: hon blev fyra | random: hon fyra blev
1.00 | 0.00
ours: hon blev trea | random: trea blev hon
1.00 | 0.00
ours: liljekonvalj doftade hon | random: hon doftade liljekonvalj
0.00 | 1.00
ours: hon inte fattade | random: hon inte fattade
0.00 | 0.00
ours: hon flyger fram | random: flyger fram hon
1.00 | 0.33
ours: fnittrade till hon | random: hon till fnittrade
0.33 | 0.00
ours: hon har allt | random: allt har hon
1.00 | 0.00
ours: harklar hon sig | random: harklar hon sig
0.00 | 0.00
ours: hon hoppade NUMBER | random: hoppade hon NUMBER
1.00 | 0.00
ours: huttrar till hon | random: till hon huttrar
0.33 | 0.33
ours: hon kan allt | random: kan allt hon
1.00 | 0.33
ours: hon kan inte | random: hon inte kan
1.00 | 0.00
ours: mycket kan hon | random: hon mycket kan
0.00 | 0.00
ours: hon klarade det | random: hon klarade det
1.00 | 1.00
ours: luktade hon hemma | random: hemma hon luktade
0.00 | 0.33
ours: marmelad luktade hon | random: hon luktade marmelad
0.00 | 1.00
ours: hon luktar gott | random: luktar hon gott
1.00 | 0.00
ours: lyssnade hon inte | random: lyssnade hon inte
0.00 | 0.00
ours: hon och erik | random: och erik hon
1.00 | 0.33
ours: hon reste sig | random: hon reste sig
1.00 | 1.00
ours: ryser till hon | random: hon till ryser
0.33 | 0.00
ours: ryste till hon | random: till ryste hon
0.33 | 0.00
ours: filippa hon saknar | random: filippa hon saknar
0.33 | 0.33
ours: hon ser honom | random: honom hon ser
1.00 | 0.33
ours: hon ser ingenting | random: ingenting hon ser
1.00 | 0.33
ours: hon sitter ner | random: ner hon sitter
1.00 | 0.33
ours: hon skadade benet | random: hon benet skadade
1.00 | 0.00
ours: slappnade hon av | random: hon av slappnade
0.00 | 0.00
ours: tystnade hon igen | random: hon igen tystnade
0.00 | 0.00
ours: hon verkade sur | random: sur hon verkade
1.00 | 0.33
ours: hon vill veta | random: veta hon vill
1.00 | 0.33
ours: vinkar hon tillbaka | random: vinkar hon tillbaka
0.00 | 0.00
ours: bara hoppa in | random: bara hoppa in
0.33 | 0.33
ours: alva eller hoppsan | random: alva hoppsan eller
0.00 | 0.33
ours: bloom frederic hos | random: bloom hos frederic
0.00 | 0.33
ours: dammet av hostade | random: dammet av hostade
0.00 | 0.00
ours: huden knottrar sig | random: sig knottrar huden
1.00 | 0.00
ours: inget sa hugo | random: hugo sa inget
0.00 | 1.00
ours: hugo tvekade inte | random: inte hugo tvekade
1.00 | 0.33
ours: hundar hundar hundar | random: hundar hundar hundar
1.00 | 1.00
ours: nedtassande kommer hundarna | random: hundarna kommer nedtassande
0.00 | 1.00
ours: hundarna inte reagerar | random: hundarna reagerar inte
0.00 | 1.00
ours: inez snyftar hundarna | random: hundarna snyftar inez
0.00 | 1.00
ours: oavbrutet morrade hunden | random: oavbrutet hunden morrade
0.00 | 0.33
ours: hur det blir | random: det blir hur
0.00 | 0.00
ours: hur fungerar eu | random: fungerar hur eu
1.00 | 0.00
ours: hur fungerar landstinget | random: landstinget hur fungerar
1.00 | 0.33
ours: hur det gick | random: gick hur det
0.00 | 0.00
ours: hur man gjorde | random: hur man gjorde
0.00 | 0.00
ours: hur kan han | random: kan han hur
1.00 | 0.33
ours: hur kunde du | random: du hur kunde
1.00 | 0.33
ours: hur du menar | random: du menar hur
0.00 | 0.00
ours: sverige styrs hur | random: sverige styrs hur
0.00 | 0.00
ours: banan var hur | random: hur var banan
0.00 | 1.00
ours: bentagen var hur | random: hur var bentagen
0.00 | 1.00
ours: hur det var | random: det hur var
0.00 | 0.33
ours: hur vet du | random: vet du hur
1.00 | 0.33
ours: ulric var hurdan | random: hurdan var ulric
0.00 | 1.00
ours: knappt syns huset | random: knappt huset syns
0.00 | 0.33
ours: huset var tyst | random: huset var tyst
1.00 | 1.00
ours: huvudet sitter kvar | random: sitter huvudet kvar
1.00 | 0.00
ours: hv71 valde mora | random: mora hv71 valde
1.00 | 0.33
ours: blandform betyder hybrid | random: hybrid blandform betyder
0.00 | 0.00
ours: i alla fall | random: alla fall i
1.00 | 0.33
ours: att i fall | random: att fall i
0.33 | 0.00
ours: i full galopp | random: full i galopp
1.00 | 0.00
ours: i mormors vedbod | random: i vedbod mormors
1.00 | 0.00
ours: kanske i vedboden | random: kanske i vedboden
0.33 | 0.33
ours: ibland sjunger dom | random: dom sjunger ibland
1.00 | 0.00
ours: visslar dom ibland | random: dom ibland visslar
0.33 | 0.33
ours: sa jag igen | random: sa jag igen
0.33 | 0.33
ours: vid fyratiden imorgon | random: imorgon vid fyratiden
0.33 | 1.00
ours: in i skogen | random: skogen in i
1.00 | 0.33
ours: inbillade jag mig | random: mig inbillade jag
1.00 | 0.33
ours: inez blir yr | random: inez blir yr
1.00 | 1.00
ours: inez fattar ingenting | random: ingenting fattar inez
1.00 | 0.00
ours: till hoppar inez | random: till hoppar inez
0.00 | 0.00
ours: efter skyndar inez | random: inez efter skyndar
0.00 | 0.00
ours: sjunga slutar inez | random: sjunga inez slutar
0.00 | 0.33
ours: inez svarar inte | random: svarar inte inez
1.00 | 0.33
ours: inez inte vill | random: inte inez vill
0.00 | 0.33
ours: inez viskar inez | random: inez inez viskar
1.00 | 0.33
ours: ingen hann reagera | random: hann reagera ingen
1.00 | 0.33
ours: ingen heller katt | random: ingen katt heller
0.00 | 1.00
ours: ingen kom ut | random: kom ut ingen
1.00 | 0.33
ours: konst ingen alls | random: ingen alls konst
0.00 | 0.00
ours: stefan sa ingen | random: sa ingen stefan
0.00 | 0.00
ours: ingen skadades allvarligt | random: allvarligt skadades ingen
1.00 | 0.00
ours: ingen syns till | random: syns ingen till
1.00 | 0.00
ours: ingen syntes till | random: syntes ingen till
1.00 | 0.00
ours: jag ljuger ingenting | random: ingenting jag ljuger
0.00 | 0.00
ours: ditte medgav ingenting | random: ditte medgav ingenting
0.00 | 0.00
ours: muttrar jag ingenting | random: muttrar ingenting jag
0.33 | 0.00
ours: heller glitter inget | random: inget heller glitter
0.00 | 0.00
ours: inez ljuger inget | random: ljuger inez inget
0.00 | 0.33
ours: under namn inget | random: inget under namn
0.00 | 0.00
ours: jag sa inget | random: sa jag inget
0.00 | 0.33
ours: inte alls bra | random: inte alls bra
1.00 | 1.00
ours: dumt inte alls | random: dumt inte alls
0.00 | 0.00
ours: inte ens jake | random: ens jake inte
1.00 | 0.33
ours: ett inte knyst | random: inte knyst ett
0.00 | 0.00
ours: inte ett ljud | random: inte ljud ett
1.00 | 0.00
ours: inte ens femton | random: inte femton ens
0.00 | 1.00
ours: han inte heller | random: han inte heller
0.00 | 0.00
ours: inte i dag | random: i inte dag
1.00 | 0.00
ours: inte i honom | random: i inte honom
1.00 | 0.00
ours: inte i mej | random: mej i inte
1.00 | 0.00
ours: inte jag heller | random: jag heller inte
1.00 | 0.33
ours: inte just nu | random: nu inte just
1.00 | 0.33
ours: heller inte mamma | random: mamma heller inte
0.33 | 0.33
ours: inte heller nathalie | random: nathalie inte heller
0.00 | 0.00
ours: nu inte igen | random: nu inte igen
0.00 | 0.00
ours: oroa mig inte | random: mig oroa inte
0.33 | 0.00
ours: inte patron inte | random: inte patron inte
1.00 | 1.00
ours: till mig inte | random: inte till mig
0.33 | 1.00
ours: jag vet inte | random: jag vet inte
0.00 | 0.00
ours: inte heller vi | random: inte vi heller
0.00 | 1.00
ours: italien vann loppet | random: loppet vann italien
1.00 | 0.00
ours: ja eller nej | random: ja eller nej
1.00 | 1.00
ours: ja just det | random: ja det just
1.00 | 0.00
ours: ja kanske det | random: ja kanske det
1.00 | 1.00
ours: nu kolla ja | random: ja kolla nu
0.00 | 1.00
ours: berra ler ja | random: berra ja ler
0.00 | 0.33
ours: lite grand ja | random: ja lite grand
0.33 | 1.00
ours: kallt lite ja | random: lite kallt ja
0.00 | 0.33
ours: allan medgav ja | random: allan ja medgav
0.00 | 0.33
ours: joakim medgav ja | random: ja medgav joakim
0.00 | 1.00
ours: mycket riktigt ja | random: riktigt mycket ja
0.33 | 0.00
ours: ja jag nickar | random: nickar jag ja
0.00 | 0.33
ours: ja ja oliver | random: ja ja oliver
0.33 | 0.33
ours: ditte sa ja | random: ditte ja sa
0.00 | 0.33
ours: erik sa ja | random: erik sa ja
0.00 | 0.00
ours: han sa ja | random: han ja sa
0.00 | 0.33
ours: hon sa ja | random: sa hon ja
0.00 | 0.33
ours: ja jag sa | random: sa ja jag
0.00 | 0.33
ours: jonathan sa ja | random: jonathan ja sa
0.00 | 0.33
ours: percy sa ja | random: sa percy ja
0.00 | 0.33
ours: samra sa ja | random: sa samra ja
0.00 | 0.33
ours: simon sa ja | random: ja sa simon
0.00 | 1.00
ours: love svarar ja | random: svarar love ja
0.00 | 0.33
ours: vilken tur ja | random: ja tur vilken
0.33 | 0.00
ours: ja visst ja | random: ja visst ja
1.00 | 1.00
ours: jag sa jaa | random: jag jaa sa
0.00 | 0.33
ours: mormor sa jaa | random: mormor sa jaa
0.00 | 0.00
ours: jag viskade jaa | random: jag jaa viskade
0.00 | 0.33
ours: jag andas ut | random: andas jag ut
1.00 | 0.00
ours: jag bara gapar | random: gapar jag bara
1.00 | 0.33
ours: jag bara gissar | random: gissar bara jag
1.00 | 0.00
ours: bara jag ler | random: bara jag ler
0.00 | 0.00
ours: jag bara skojade | random: skojade jag bara
1.00 | 0.33
ours: ingenting jag begriper | random: jag ingenting begriper
0.33 | 0.00
ours: jag blev blek | random: jag blek blev
1.00 | 0.00
ours: jag blev stum | random: stum blev jag
1.00 | 0.00
ours: iskall blir jag | random: blir jag iskall
0.00 | 0.00
ours: jag bryr mig | random: jag bryr mig
1.00 | 1.00
ours: cyklade jag fram | random: fram jag cyklade
0.00 | 0.33
ours: sakta cyklar jag | random: cyklar sakta jag
0.00 | 0.33
ours: darrar jag till | random: jag darrar till
0.00 | 1.00
ours: ingenting jag fattade | random: jag fattade ingenting
0.33 | 1.00
ours: ingenting jag fattar | random: jag ingenting fattar
0.33 | 0.00
ours: fnissar jag till | random: fnissar till jag
0.00 | 0.33
ours: tyst fnyser jag | random: jag tyst fnyser
0.00 | 0.00
ours: jag fryser till | random: fryser till jag
1.00 | 0.33
ours: jag ger upp | random: jag upp ger
1.00 | 0.00
ours: jag gick ut | random: jag gick ut
1.00 | 1.00
ours: jag gillade danskan | random: gillade jag danskan
1.00 | 0.00
ours: jag gillar fiskar | random: jag fiskar gillar
1.00 | 0.00
ours: jag gjorde det | random: det jag gjorde
1.00 | 0.33
ours: jag hade tur | random: tur jag hade
1.00 | 0.33
ours: jag har den | random: jag den har
1.00 | 0.00
ours: det har jag | random: det jag har
0.00 | 0.33
ours: jag har flera | random: flera har jag
1.00 | 0.00
ours: jag har flugit | random: jag har flugit
1.00 | 1.00
ours: jag har letat | random: har jag letat
1.00 | 0.00
ours: jag har nycklarna | random: har nycklarna jag
1.00 | 0.33
ours: jag hatar bitte | random: hatar jag bitte
1.00 | 0.00
ours: jag hatar dom | random: dom jag hatar
1.00 | 0.33
ours: jag hatar fisk | random: hatar jag fisk
1.00 | 0.00
ours: jag hatar visningen | random: jag hatar visningen
1.00 | 1.00
ours: jag heter felix | random: felix heter jag
1.00 | 0.00
ours: jag heter lasse | random: lasse heter jag
1.00 | 0.00
ours: jag heter maria | random: heter jag maria
1.00 | 0.00
ours: jag heter oliver | random: heter jag oliver
1.00 | 0.00
ours: jag heter percy | random: percy jag heter
1.00 | 0.33
ours: jag heter tanja | random: tanja heter jag
1.00 | 0.00
ours: hinner jag dit | random: dit hinner jag
0.00 | 0.00
ours: huttrar jag till | random: huttrar jag till
0.00 | 0.00
ours: tyst jublar jag | random: jublar jag tyst
0.00 | 0.00
ours: jag kan ringa | random: jag ringa kan
1.00 | 0.00
ours: jag klarar mej | random: mej jag klarar
1.00 | 0.33
ours: jag kommer snart | random: kommer snart jag
1.00 | 0.33
ours: tyst kvider jag | random: tyst kvider jag
0.00 | 0.00
ours: stolt jag ler | random: stolt jag ler
0.33 | 0.33
ours: ju jag lever | random: ju lever jag
0.33 | 0.00
ours: jag ljuger igen | random: ljuger igen jag
1.00 | 0.33
ours: jag lovar dig | random: lovar jag dig
1.00 | 0.00
ours: luren lyfte jag | random: jag lyfte luren
0.00 | 1.00
ours: jag minns inte | random: minns inte jag
1.00 | 0.33
ours: avvaktande nickar jag | random: jag avvaktande nickar
0.00 | 0.00
ours: ivrigt nickar jag | random: ivrigt nickar jag
0.00 | 0.00
ours: nickar jag matt | random: jag matt nickar
0.00 | 0.00
ours: sammanbitet nickar jag | random: sammanbitet jag nickar
0.00 | 0.33
ours: stumt nickar jag | random: stumt jag nickar
0.00 | 0.33
ours: tveksamt nickar jag | random: tveksamt jag nickar
0.00 | 0.33
ours: ficklampan provade jag | random: provade jag ficklampan
0.00 | 0.00
ours: NUMBER jag ringer | random: ringer jag NUMBER
0.33 | 0.00
ours: jag ringer tillbaka | random: tillbaka ringer jag
1.00 | 0.00
ours: jag ryggar tillbaka | random: jag tillbaka ryggar
1.00 | 0.00
ours: jag sa ingenting | random: jag sa ingenting
1.00 | 1.00
ours: jag sa kanske | random: sa jag kanske
1.00 | 0.00
ours: jag sa nej | random: sa jag nej
1.00 | 0.00
ours: jag sa sluta | random: jag sluta sa
1.00 | 0.00
ours: jag saknade henne | random: saknade jag henne
1.00 | 0.00
ours: jag ser dej | random: jag ser dej
1.00 | 1.00
ours: jag ska bara | random: ska bara jag
1.00 | 0.33
ours: jag ska sova | random: jag sova ska
1.00 | 0.00
ours: jag ska ut | random: ska jag ut
1.00 | 0.00
ours: inombords suckar jag | random: inombords jag suckar
0.00 | 0.33
ours: lite suckar jag | random: lite jag suckar
0.00 | 0.33
ours: jag inte svarar | random: svarar jag inte
0.00 | 0.00
ours: bollen tappade jag | random: bollen jag tappade
0.00 | 0.33
ours: jag tar sats | random: jag sats tar
1.00 | 0.00
ours: upp tittade jag | random: tittade upp jag
0.00 | 0.33
ours: jag tog den | random: den jag tog
1.00 | 0.33
ours: jag trodde inte | random: inte trodde jag
1.00 | 0.00
ours: jag tror det | random: jag tror det
1.00 | 1.00
ours: jag tror inte | random: tror jag inte
1.00 | 0.00
ours: besviken var jag | random: var besviken jag
0.00 | 0.33
ours: jag var detektiv | random: jag detektiv var
1.00 | 0.00
ours: jag var privatdetektiv | random: jag var privatdetektiv
1.00 | 1.00
ours: jag var tyst | random: tyst jag var
1.00 | 0.33
ours: jag vet det | random: jag det vet
1.00 | 0.00
ours: jag vet inte | random: vet jag inte
1.00 | 0.00
ours: jag vill inte | random: inte jag vill
1.00 | 0.33
ours: jag vill tala | random: vill jag tala
1.00 | 0.00
ours: jag vill veta | random: jag veta vill
1.00 | 0.00
ours: jag visste det | random: jag det visste
1.00 | 0.00
ours: jag visste inte | random: inte jag visste
1.00 | 0.33
ours: han sa jaha | random: sa han jaha
0.00 | 0.33
ours: jag sa jaha | random: jaha sa jag
0.00 | 1.00
ours: morfar sa jaha | random: jaha sa morfar
0.00 | 1.00
ours: du skratta jahaja | random: skratta jahaja du
0.00 | 0.00
ours: farbrorn suckar jahaja | random: farbrorn jahaja suckar
0.00 | 0.33
ours: kajsa kul jaja | random: jaja kajsa kul
0.00 | 0.00
ours: hon sa jaja | random: jaja sa hon
0.00 | 1.00
ours: springande kom jake | random: springande jake kom
0.00 | 0.33
ours: skratt hesa jalles | random: jalles skratt hesa
0.00 | 0.00
ours: jag sa japp | random: japp jag sa
0.00 | 0.00
ours: it kiip jast | random: jast kiip it
0.00 | 1.00
ours: javisst han ja | random: ja han javisst
0.00 | 0.33
ours: ditte sa javisst | random: ditte sa javisst
0.00 | 0.00
ours: farfar sa javisst | random: farfar javisst sa
0.00 | 0.33
ours: hon sa javisst | random: hon javisst sa
0.00 | 0.33
ours: percy sa javisst | random: sa percy javisst
0.00 | 0.33
ours: jenny har ringt | random: ringt jenny har
1.00 | 0.33
ours: jag sa jm | random: jm sa jag
0.00 | 1.00
ours: jo jag vet | random: vet jo jag
1.00 | 0.33
ours: mycket riktigt jo | random: mycket riktigt jo
0.33 | 0.33
ours: jo jag nickar | random: jag nickar jo
0.00 | 0.00
ours: jo sa felix | random: sa jo felix
1.00 | 0.00
ours: jo sa han | random: jo sa han
1.00 | 1.00
ours: joakim skrek jo | random: skrek joakim jo
0.33 | 0.33
ours: du och joakim | random: du joakim och
0.33 | 0.00
ours: ryckte till joakim | random: till ryckte joakim
0.33 | 0.00
ours: allan sa joakim | random: sa joakim allan
0.00 | 0.00
ours: johan och frank | random: johan frank och
1.00 | 0.00
ours: johan olof wallin | random: johan wallin olof
1.00 | 0.00
ours: john hade pengar | random: pengar hade john
1.00 | 0.00
ours: johnny nilsson socialdemokrat | random: johnny nilsson socialdemokrat
1.00 | 1.00
ours: jag sa johnny | random: sa jag johnny
0.00 | 0.33
ours: jonas andersson folkpartist | random: andersson folkpartist jonas
1.00 | 0.33
ours: direkt reagerar jonathan | random: reagerar direkt jonathan
0.00 | 0.33
ours: jonathan svarar inte | random: jonathan svarar inte
1.00 | 1.00
ours: mormor sa joo | random: sa mormor joo
0.00 | 0.33
ours: sedan NUMBER jordbruksminister | random: sedan jordbruksminister NUMBER
0.33 | 0.00
ours: wiker oro jordens | random: wiker jordens oro
0.00 | 0.33
ours: jubelidiotiska helt enkelt | random: helt enkelt jubelidiotiska
1.00 | 0.33
ours: jugoslavien delades upp | random: upp delades jugoslavien
1.00 | 0.00
ours: ja just det | random: ja det just
0.33 | 0.00
ours: just det nycklarna | random: nycklarna just det
1.00 | 0.33
ours: sedan NUMBER justitieminister | random: sedan NUMBER justitieminister
0.33 | 0.33
ours: mamma sa kaffebryggaren | random: sa mamma kaffebryggaren
0.00 | 0.33
ours: kajsa var besviken | random: besviken kajsa var
1.00 | 0.33
ours: det kan duga | random: kan det duga
0.00 | 1.00
ours: du kan ingenting | random: du kan ingenting
0.00 | 0.00
ours: du kan inte | random: inte kan du
0.00 | 0.33
ours: du kan kontakta | random: du kontakta kan
0.00 | 0.33
ours: du kan multiplikationstabellen | random: du multiplikationstabellen kan
0.00 | 0.33
ours: han kan det | random: han det kan
0.00 | 0.33
ours: hon kan hoppa | random: hon kan hoppa
0.00 | 0.00
ours: vi kan inte | random: inte kan vi
0.00 | 0.33
ours: vi kan ses | random: kan ses vi
0.00 | 0.00
ours: till exempel kaniner | random: till kaniner exempel
0.33 | 0.00
ours: jonathan svarar kanon | random: kanon jonathan svarar
0.00 | 0.00
ours: kanske en professor | random: professor kanske en
1.00 | 0.33
ours: kanske inte kanske | random: kanske inte kanske
0.33 | 0.33
ours: kanske hon sover | random: sover kanske hon
0.00 | 0.00
ours: pang kapitel NUMBER | random: kapitel NUMBER pang
0.33 | 1.00
ours: socialdemokrat engdahl karin | random: karin engdahl socialdemokrat
0.00 | 1.00
ours: karl oskar berg | random: oskar karl berg
1.00 | 0.00
ours: farfar sa kasta | random: kasta farfar sa
0.00 | 0.00
ours: inte vaknade katten | random: vaknade katten inte
0.00 | 0.00
ours: killarna reser sig | random: sig reser killarna
1.00 | 0.00
ours: blickar utbytte killarna | random: blickar killarna utbytte
0.00 | 0.33
ours: du menar kille | random: menar kille du
0.00 | 0.00
ours: kistan var tung | random: kistan tung var
1.00 | 0.00
ours: klack klack klack | random: klack klack klack
1.00 | 1.00
ours: min bror klagade | random: klagade bror min
0.33 | 0.00
ours: klarar du dig | random: du dig klarar
1.00 | 0.33
ours: jag kan klart | random: kan jag klart
0.33 | 0.00
ours: vi ska klart | random: vi ska klart
0.33 | 0.33
ours: skrattat hade klasse | random: klasse hade skrattat
0.00 | 1.00
ours: klubbledningen sade nej | random: klubbledningen nej sade
1.00 | 0.00
ours: jonathan svarar knappast | random: knappast jonathan svarar
0.00 | 0.00
ours: tinki inki kolla | random: tinki kolla inki
0.00 | 0.33
ours: kom alla flickor | random: flickor alla kom
1.00 | 0.00
ours: allihop kom fram | random: allihop kom fram
0.33 | 0.33
ours: genast kom upp | random: kom genast upp
0.00 | 1.00
ours: percy kom hit | random: percy hit kom
0.33 | 0.00
ours: hit kom tess | random: kom hit tess
0.00 | 1.00
ours: kom igen kajsa | random: igen kajsa kom
1.00 | 0.33
ours: kom igen nu | random: nu kom igen
1.00 | 0.33
ours: kom igen passa | random: passa kom igen
1.00 | 0.33
ours: kom igen ponny | random: kom igen ponny
1.00 | 1.00
ours: kom igen tess | random: igen kom tess
1.00 | 0.00
ours: kom igen tessa | random: tessa igen kom
1.00 | 0.00
ours: hit kom inte | random: inte hit kom
0.33 | 0.33
ours: nu kom lisa | random: nu lisa kom
0.00 | 0.33
ours: nu kom mormor | random: nu kom mormor
0.00 | 0.00
ours: nu kom sara | random: kom nu sara
0.00 | 1.00
ours: nu kom segpropp | random: segpropp nu kom
0.00 | 0.00
ours: nu kom syrran | random: nu syrran kom
0.00 | 0.33
ours: nu kom tessa | random: kom nu tessa
0.00 | 1.00
ours: nu kom tina | random: nu kom tina
0.00 | 0.00
ours: sa han kom | random: kom han sa
0.33 | 0.00
ours: hon kom sa | random: sa kom hon
0.33 | 0.00
ours: kom till mig | random: mig till kom
1.00 | 0.00
ours: genast kom tillbaka | random: genast tillbaka kom
0.33 | 0.00
ours: myran viskade kom | random: viskade kom myran
0.00 | 0.00
ours: det kommer fler | random: fler kommer det
0.00 | 0.33
ours: felix du kommer | random: felix kommer du
0.00 | 0.33
ours: sent kommer hem | random: kommer hem sent
0.33 | 1.00
ours: ditte sa konstigt | random: ditte sa konstigt
0.00 | 0.00
ours: konstverket heter havsspegel | random: konstverket havsspegel heter
1.00 | 0.00
ours: kansli kallas kontoret | random: kontoret kansli kallas
0.00 | 0.00
ours: snabbt jonathan kontrar | random: jonathan snabbt kontrar
0.00 | 0.33
ours: kors i taket | random: taket i kors
1.00 | 0.00
ours: kulturminister sedan NUMBER | random: sedan kulturminister NUMBER
1.00 | 0.00
ours: kvar i stallet | random: i kvar stallet
1.00 | 0.00
ours: jag tror kyckling | random: tror kyckling jag
0.00 | 0.00
ours: lagen heter biobankslagen | random: biobankslagen lagen heter
1.00 | 0.33
ours: larva dig inte | random: dig larva inte
1.00 | 0.00
ours: erik mumlade ledsen | random: erik mumlade ledsen
0.00 | 0.00
ours: socialdemokrat leif blomqvist | random: blomqvist socialdemokrat leif
0.33 | 0.33
ours: sa jag lever | random: jag lever sa
0.33 | 0.33
ours: stilla alldeles ligg | random: ligg stilla alldeles
0.00 | 0.00
ours: bara stilla ligg | random: ligg bara stilla
0.00 | 0.00
ours: jag heter lilian | random: jag lilian heter
0.00 | 0.33
ours: mormor rultiga lilla | random: rultiga mormor lilla
0.00 | 0.33
ours: linan var tom | random: tom linan var
1.00 | 0.33
ours: linus kom sist | random: kom sist linus
1.00 | 0.33
ours: blev lisa ledsen | random: ledsen lisa blev
0.00 | 0.33
ours: tystnaden bryter lisa | random: lisa tystnaden bryter
0.00 | 0.00
ours: lisa tar misty | random: tar misty lisa
1.00 | 0.33
ours: det mej lova | random: mej det lova
0.00 | 0.33
ours: lova mig det | random: det lova mig
1.00 | 0.33
ours: lovade du det | random: lovade det du
1.00 | 0.00
ours: love blir arg | random: love blir arg
1.00 | 1.00
ours: jag heter love | random: jag heter love
0.00 | 0.00
ours: love kommer efter | random: kommer efter love
1.00 | 0.33
ours: love love mumlar | random: mumlar love love
0.33 | 0.33
ours: melissa och love | random: och melissa love
0.00 | 0.33
ours: lite suckar love | random: lite suckar love
0.00 | 0.00
ours: love svarar inte | random: inte love svarar
1.00 | 0.33
ours: tittar love upp | random: love tittar upp
0.00 | 1.00
ours: love vinkar tillbaka | random: love vinkar tillbaka
1.00 | 1.00
ours: ludde kan hoppa | random: kan ludde hoppa
1.00 | 0.00
ours: ludde svarar inte | random: svarar inte ludde
1.00 | 0.33
ours: luften stod stilla | random: stod luften stilla
1.00 | 0.00
ours: lugn lugn lugn | random: lugn lugn lugn
1.00 | 1.00
ours: lugn och ro | random: ro lugn och
1.00 | 0.33
ours: ditte sa lugn | random: ditte sa lugn
0.00 | 0.00
ours: morfar sa lugn | random: morfar lugn sa
0.00 | 0.33
ours: lycka till nu | random: lycka nu till
1.00 | 0.00
ours: glad och lycklig | random: glad och lycklig
0.00 | 0.00
ours: staffan hojtar lyssna | random: lyssna hojtar staffan
0.00 | 1.00
ours: lyssna noga nu | random: nu noga lyssna
1.00 | 0.00
ours: lyssna noga nu | random: nu noga lyssna
0.00 | 0.33
ours: spanade och lyssnade | random: spanade och lyssnade
0.00 | 0.00
ours: och frederic magnet | random: magnet och frederic
0.33 | 1.00
ours: till fnissar maja | random: till maja fnissar
0.00 | 0.33
ours: generat fnissar majsan | random: majsan generat fnissar
0.00 | 0.00
ours: till frustar majsan | random: majsan till frustar
0.00 | 0.00
ours: blekt ler majsan | random: blekt ler majsan
0.00 | 0.00
ours: lite ler majsan | random: lite majsan ler
0.00 | 0.33
ours: matt ler majsan | random: matt majsan ler
0.00 | 0.33
ours: lydigt nickar majsan | random: nickar majsan lydigt
0.00 | 0.00
ours: till skrattar majsan | random: majsan skrattar till
0.00 | 1.00
ours: tungt suckar majsan | random: tungt suckar majsan
0.00 | 0.00
ours: majsan svarar inte | random: inte svarar majsan
1.00 | 0.00
ours: faktiskt tystnar majsan | random: tystnar majsan faktiskt
0.00 | 0.00
ours: malte klarade sig | random: malte klarade sig
1.00 | 1.00
ours: mamma bara skrattade | random: mamma skrattade bara
1.00 | 0.00
ours: mamma bara skrattar | random: bara skrattar mamma
1.00 | 0.33
ours: i mamma lucialinne | random: lucialinne mamma i
0.00 | 0.33
ours: sist kommer mamma | random: mamma kommer sist
0.00 | 1.00
ours: mamma lagar mat | random: mamma mat lagar
1.00 | 0.00
ours: bara lyssnade mamma | random: mamma lyssnade bara
0.00 | 1.00
ours: bilen rivstartar mamma | random: rivstartar mamma bilen
0.00 | 0.00
ours: hon ropade mamma | random: mamma hon ropade
0.00 | 0.00
ours: liksom man sjunker | random: man liksom sjunker
0.00 | 1.00
ours: mannen blev skjuten | random: blev mannen skjuten
1.00 | 0.00
ours: mannen hade tur | random: tur mannen hade
1.00 | 0.33
ours: mannen kom efter | random: kom efter mannen
1.00 | 0.33
ours: igen skrattar mannen | random: igen skrattar mannen
0.00 | 0.00
ours: log bara manuel | random: bara manuel log
0.00 | 0.00
ours: tacksamt log manuel | random: manuel tacksamt log
0.00 | 0.00
ours: inget sa manuel | random: sa manuel inget
0.00 | 0.00
ours: maria svarar inte | random: inte svarar maria
1.00 | 0.00
ours: le slutade marko | random: le marko slutade
0.00 | 0.33
ours: martin andreasson moderat | random: andreasson moderat martin
1.00 | 0.33
ours: sitt lyfter martin | random: martin lyfter sitt
0.00 | 1.00
ours: lite rodnar martina | random: rodnar martina lite
0.00 | 0.00
ours: matchen var slut | random: slut var matchen
1.00 | 0.00
ours: matchstart klockan NUMBER | random: matchstart NUMBER klockan
1.00 | 0.00
ours: med det verkliga | random: det med verkliga
