ours: NUMBER joel hej | random: hej joel NUMBER
ours: fnissar hela klassen | random: hela klassen fnissar
0.33 | 1.00
ours: helst med detsamma | random: detsamma med helst
1.00 | 0.00
ours: heltid eller deltid | random: eller heltid deltid
1.00 | 0.00
ours: hugo sa helvete | random: helvete hugo sa
0.00 | 0.00
ours: ludde och henne | random: och henne ludde
0.00 | 0.00
ours: boy rich hey | random: boy rich hey
0.00 | 0.00
ours: hinner jag ropa | random: hinner jag ropa
1.00 | 1.00
ours: du hittade henne | random: henne hittade du
0.00 | 0.33
ours: du hittar dit | random: dit du hittar
0.00 | 0.00
ours: hojtade han glatt | random: glatt han hojtade
1.00 | 0.00
ours: boy rich hola | random: hola boy rich
0.00 | 0.00
ours: de sa hola | random: de sa hola
0.00 | 0.00
ours: erik sa hola | random: sa erik hola
0.00 | 0.33
ours: hon bara gapade | random: bara hon gapade
1.00 | 0.00
ours: hon biter ihop | random: ihop biter hon
1.00 | 0.00
ours: hon blev fyra | random: hon blev fyra
1.00 | 1.00
ours: hon blev trea | random: trea hon blev
1.00 | 0.33
ours: liljekonvalj doftade hon | random: doftade liljekonvalj hon
0.00 | 0.33
ours: hon fattade inte | random: hon fattade inte
1.00 | 1.00
ours: hon flyger fram | random: hon fram flyger
1.00 | 0.00
ours: fnittrade hon till | random: fnittrade till hon
0.00 | 0.33
ours: hon har allt | random: allt hon har
1.00 | 0.33
ours: harklar hon sig | random: hon harklar sig
0.00 | 1.00
ours: hon hoppade NUMBER | random: hon hoppade NUMBER
1.00 | 1.00
ours: huttrar hon till | random: hon till huttrar
0.00 | 0.00
ours: hon kan allt | random: kan allt hon
1.00 | 0.33
ours: kan hon inte | random: hon inte kan
0.00 | 0.00
ours: hon kan mycket | random: hon kan mycket
1.00 | 1.00
ours: hon klarade det | random: klarade hon det
1.00 | 0.00
ours: luktade hon hemma | random: luktade hemma hon
0.00 | 0.33
ours: marmelad luktade hon | random: marmelad luktade hon
0.00 | 0.00
ours: hon luktar gott | random: luktar hon gott
1.00 | 0.00
ours: lyssnade hon inte | random: inte hon lyssnade
0.00 | 0.33
ours: hon och erik | random: och erik hon
1.00 | 0.33
ours: hon reste sig | random: sig hon reste
1.00 | 0.33
ours: ryser hon till | random: till hon ryser
0.00 | 0.33
ours: ryste hon till | random: till hon ryste
0.00 | 0.33
ours: hon saknar filippa | random: filippa hon saknar
1.00 | 0.33
ours: hon ser honom | random: hon honom ser
1.00 | 0.00
ours: ser hon ingenting | random: ser hon ingenting
0.00 | 0.00
ours: hon sitter ner | random: hon ner sitter
1.00 | 0.00
ours: hon skadade benet | random: benet hon skadade
1.00 | 0.33
ours: av slappnade hon | random: av hon slappnade
0.00 | 0.33
ours: tystnade hon igen | random: hon igen tystnade
0.00 | 0.00
ours: hon verkade sur | random: hon sur verkade
1.00 | 0.00
ours: hon vill veta | random: hon veta vill
1.00 | 0.00
ours: vinkar hon tillbaka | random: vinkar hon tillbaka
0.00 | 0.00
ours: bara hoppa in | random: bara hoppa in
0.33 | 0.33
ours: alva eller hoppsan | random: alva eller hoppsan
0.00 | 0.00
ours: bloom frederic hos | random: hos frederic bloom
0.00 | 1.00
ours: dammet av hostade | random: av hostade dammet
0.00 | 0.00
ours: sig knottrar huden | random: huden sig knottrar
0.00 | 0.00
ours: hugo sa inget | random: sa inget hugo
1.00 | 0.33
ours: hugo tvekade inte | random: inte tvekade hugo
1.00 | 0.00
ours: hundar hundar hundar | random: hundar hundar hundar
1.00 | 1.00
ours: nedtassande kommer hundarna | random: hundarna nedtassande kommer
0.00 | 0.00
ours: hundarna reagerar inte | random: reagerar inte hundarna
1.00 | 0.33
ours: inez snyftar hundarna | random: snyftar hundarna inez
0.00 | 0.00
ours: oavbrutet morrade hunden | random: hunden oavbrutet morrade
0.00 | 0.00
ours: hur det blir | random: det hur blir
0.00 | 0.33
ours: hur fungerar eu | random: eu hur fungerar
1.00 | 0.33
ours: hur fungerar landstinget | random: fungerar hur landstinget
1.00 | 0.00
ours: hur det gick | random: gick det hur
0.00 | 0.33
ours: hur man gjorde | random: man gjorde hur
0.00 | 0.00
ours: hur kan han | random: han hur kan
1.00 | 0.33
ours: hur kunde du | random: du kunde hur
1.00 | 0.00
ours: hur menar du | random: du hur menar
1.00 | 0.33
ours: hur sverige styrs | random: sverige hur styrs
0.00 | 0.33
ours: banan var hur | random: banan var hur
0.00 | 0.00
ours: hur var bentagen | random: bentagen hur var
1.00 | 0.33
ours: hur det var | random: var det hur
0.00 | 0.33
ours: hur vet du | random: vet du hur
1.00 | 0.33
ours: ulric var hurdan | random: var hurdan ulric
0.00 | 0.00
ours: knappt syns huset | random: knappt huset syns
0.00 | 0.33
ours: huset var tyst | random: huset tyst var
1.00 | 0.00
ours: huvudet sitter kvar | random: sitter huvudet kvar
1.00 | 0.00
ours: mora valde hv71 | random: valde mora hv71
0.00 | 0.33
ours: blandform betyder hybrid | random: blandform hybrid betyder
0.00 | 0.33
ours: i alla fall | random: i fall alla
1.00 | 0.00
ours: att i fall | random: fall i att
0.33 | 0.00
ours: i full galopp | random: galopp full i
1.00 | 0.00
ours: vedbod mormors i | random: i mormors vedbod
0.00 | 1.00
ours: kanske i vedboden | random: vedboden kanske i
0.33 | 0.33
ours: dom sjunger ibland | random: ibland sjunger dom
0.00 | 1.00
ours: dom visslar ibland | random: ibland dom visslar
0.00 | 0.00
ours: sa jag igen | random: sa igen jag
0.33 | 0.00
ours: vid fyratiden imorgon | random: vid fyratiden imorgon
0.33 | 0.33
ours: in i skogen | random: i skogen in
1.00 | 0.33
ours: inbillade jag mig | random: mig jag inbillade
1.00 | 0.00
ours: yr blir inez | random: blir inez yr
0.00 | 0.00
ours: inez fattar ingenting | random: inez ingenting fattar
1.00 | 0.00
ours: till hoppar inez | random: till hoppar inez
0.00 | 0.00
ours: efter skyndar inez | random: skyndar inez efter
0.00 | 0.00
ours: sjunga slutar inez | random: sjunga slutar inez
0.00 | 0.00
ours: inez svarar inte | random: inte inez svarar
1.00 | 0.33
ours: vill inte inez | random: inez vill inte
0.33 | 1.00
ours: inez viskar inez | random: viskar inez inez
1.00 | 0.33
ours: ingen hann reagera | random: ingen reagera hann
1.00 | 0.00
ours: heller ingen katt | random: katt ingen heller
0.33 | 0.00
ours: ingen kom ut | random: kom ingen ut
1.00 | 0.00
ours: konst ingen alls | random: ingen alls konst
0.00 | 0.00
ours: ingen sa stefan | random: sa stefan ingen
1.00 | 0.33
ours: ingen skadades allvarligt | random: allvarligt ingen skadades
1.00 | 0.33
ours: ingen syns till | random: syns ingen till
1.00 | 0.00
ours: till ingen syntes | random: till ingen syntes
0.33 | 0.33
ours: ingenting jag ljuger | random: ingenting jag ljuger
0.00 | 0.00
ours: ditte medgav ingenting | random: ingenting ditte medgav
0.00 | 0.00
ours: muttrar jag ingenting | random: ingenting jag muttrar
0.33 | 0.00
ours: inget glitter heller | random: glitter inget heller
1.00 | 0.00
ours: inez ljuger inget | random: inez ljuger inget
0.00 | 0.00
ours: under inget namn | random: inget namn under
0.33 | 1.00
ours: jag sa inget | random: inget sa jag
0.00 | 1.00
ours: inte alls bra | random: bra alls inte
1.00 | 0.00
ours: inte alls dumt | random: alls dumt inte
0.00 | 0.00
ours: inte ens jake | random: inte jake ens
1.00 | 0.00
ours: inte ett knyst | random: ett knyst inte
1.00 | 0.33
ours: inte ett ljud | random: inte ljud ett
1.00 | 0.00
ours: inte ens femton | random: femton ens inte
0.00 | 0.33
ours: han inte heller | random: han inte heller
0.00 | 0.00
ours: inte i dag | random: i inte dag
1.00 | 0.00
ours: inte i honom | random: honom inte i
1.00 | 0.33
ours: inte i mej | random: inte i mej
1.00 | 1.00
ours: inte jag heller | random: inte jag heller
1.00 | 1.00
ours: inte just nu | random: just nu inte
1.00 | 0.33
ours: inte heller mamma | random: mamma heller inte
0.00 | 0.33
ours: inte heller nathalie | random: nathalie heller inte
0.00 | 0.33
ours: inte nu igen | random: igen nu inte
1.00 | 0.00
ours: inte oroa mig | random: mig inte oroa
1.00 | 0.33
ours: inte inte patron | random: inte patron inte
0.33 | 1.00
ours: inte till mig | random: till mig inte
1.00 | 0.33
ours: jag vet inte | random: vet inte jag
0.00 | 0.00
ours: inte vi heller | random: inte heller vi
1.00 | 0.00
ours: loppet italien vann | random: loppet vann italien
0.33 | 0.00
ours: ja eller nej | random: ja nej eller
1.00 | 0.00
ours: ja just det | random: ja just det
1.00 | 1.00
ours: ja kanske det | random: kanske ja det
1.00 | 0.00
ours: ja nu kolla | random: nu ja kolla
0.00 | 0.33
ours: berra ler ja | random: ja berra ler
0.00 | 0.00
ours: ja lite grand | random: ja grand lite
1.00 | 0.00
ours: ja lite kallt | random: ja kallt lite
1.00 | 0.00
ours: allan medgav ja | random: allan medgav ja
0.00 | 0.00
ours: joakim medgav ja | random: medgav ja joakim
0.00 | 0.00
ours: mycket riktigt ja | random: mycket ja riktigt
0.33 | 0.00
ours: ja jag nickar | random: jag nickar ja
0.00 | 0.33
ours: oliver ja ja | random: oliver ja ja
0.33 | 0.33
ours: ditte sa ja | random: ditte sa ja
0.00 | 0.00
ours: erik sa ja | random: sa ja erik
0.00 | 0.00
ours: han sa ja | random: ja han sa
0.00 | 0.00
ours: hon sa ja | random: ja sa hon
0.00 | 1.00
ours: jag sa ja | random: sa ja jag
0.33 | 0.33
ours: jonathan sa ja | random: jonathan ja sa
0.00 | 0.33
ours: percy sa ja | random: ja sa percy
0.00 | 1.00
ours: samra sa ja | random: samra ja sa
0.00 | 0.33
ours: simon sa ja | random: ja simon sa
0.00 | 0.00
ours: love svarar ja | random: ja love svarar
0.00 | 0.00
ours: vilken tur ja | random: tur ja vilken
0.33 | 0.33
ours: ja visst ja | random: ja ja visst
1.00 | 0.33
ours: jaa jag sa | random: jag sa jaa
0.00 | 0.00
ours: mormor sa jaa | random: mormor jaa sa
0.00 | 0.33
ours: jag viskade jaa | random: viskade jag jaa
0.00 | 0.33
ours: jag andas ut | random: ut jag andas
1.00 | 0.33
ours: jag bara gapar | random: gapar jag bara
1.00 | 0.33
ours: gissar jag bara | random: bara jag gissar
0.33 | 0.00
ours: jag bara ler | random: bara ler jag
1.00 | 0.33
ours: jag bara skojade | random: skojade jag bara
1.00 | 0.33
ours: jag begriper ingenting | random: ingenting begriper jag
1.00 | 0.00
ours: jag blev blek | random: jag blek blev
1.00 | 0.00
ours: jag blev stum | random: stum jag blev
1.00 | 0.33
ours: jag blir iskall | random: jag iskall blir
1.00 | 0.00
ours: jag bryr mig | random: mig bryr jag
1.00 | 0.00
ours: jag cyklade fram | random: fram jag cyklade
1.00 | 0.33
ours: jag cyklar sakta | random: sakta jag cyklar
1.00 | 0.33
ours: jag darrar till | random: jag darrar till
1.00 | 1.00
ours: jag fattade ingenting | random: jag ingenting fattade
1.00 | 0.00
ours: jag fattar ingenting | random: ingenting fattar jag
1.00 | 0.00
ours: fnissar jag till | random: till fnissar jag
0.00 | 0.00
ours: tyst fnyser jag | random: tyst jag fnyser
0.00 | 0.33
ours: jag fryser till | random: jag till fryser
1.00 | 0.00
ours: jag ger upp | random: upp ger jag
1.00 | 0.00
ours: jag gick ut | random: jag ut gick
1.00 | 0.00
ours: jag gillade danskan | random: gillade danskan jag
1.00 | 0.33
ours: jag gillar fiskar | random: fiskar jag gillar
1.00 | 0.33
ours: det gjorde jag | random: det gjorde jag
0.00 | 0.00
ours: jag hade tur | random: tur hade jag
1.00 | 0.00
ours: jag har den | random: har jag den
1.00 | 0.00
ours: jag har det | random: jag det har
1.00 | 0.00
ours: jag har flera | random: jag flera har
1.00 | 0.00
ours: jag har flugit | random: jag har flugit
1.00 | 1.00
ours: jag har letat | random: letat jag har
1.00 | 0.33
ours: jag har nycklarna | random: har nycklarna jag
1.00 | 0.33
ours: jag hatar bitte | random: bitte jag hatar
1.00 | 0.33
ours: jag hatar dom | random: hatar dom jag
1.00 | 0.33
ours: hatar jag fisk | random: jag hatar fisk
0.00 | 1.00
ours: jag hatar visningen | random: hatar jag visningen
1.00 | 0.00
ours: jag heter felix | random: felix jag heter
1.00 | 0.33
ours: jag heter lasse | random: jag heter lasse
1.00 | 1.00
ours: jag heter maria | random: maria heter jag
1.00 | 0.00
ours: jag heter oliver | random: heter oliver jag
1.00 | 0.33
ours: jag heter percy | random: jag percy heter
1.00 | 0.00
ours: jag heter tanja | random: heter jag tanja
1.00 | 0.00
ours: jag hinner dit | random: hinner jag dit
1.00 | 0.00
ours: huttrar jag till | random: till jag huttrar
0.00 | 0.33
ours: jag jublar tyst | random: jag jublar tyst
1.00 | 1.00
ours: jag kan ringa | random: ringa jag kan
1.00 | 0.33
ours: jag klarar mej | random: mej klarar jag
1.00 | 0.00
ours: jag kommer snart | random: snart kommer jag
1.00 | 0.00
ours: tyst kvider jag | random: kvider tyst jag
0.00 | 0.33
ours: jag ler stolt | random: ler stolt jag
1.00 | 0.33
ours: jag lever ju | random: ju lever jag
1.00 | 0.00
ours: ljuger jag igen | random: igen ljuger jag
0.00 | 0.00
ours: jag lovar dig | random: jag dig lovar
1.00 | 0.00
ours: jag lyfte luren | random: jag lyfte luren
1.00 | 1.00
ours: jag minns inte | random: inte minns jag
1.00 | 0.00
ours: jag nickar avvaktande | random: jag nickar avvaktande
1.00 | 1.00
ours: jag nickar ivrigt | random: jag ivrigt nickar
1.00 | 0.00
ours: jag nickar matt | random: matt jag nickar
1.00 | 0.33
ours: jag nickar sammanbitet | random: nickar jag sammanbitet
1.00 | 0.00
ours: jag nickar stumt | random: nickar stumt jag
1.00 | 0.33
ours: jag nickar tveksamt | random: nickar jag tveksamt
1.00 | 0.00
ours: jag provade ficklampan | random: jag provade ficklampan
1.00 | 1.00
ours: NUMBER jag ringer | random: jag ringer NUMBER
0.33 | 1.00
ours: jag ringer tillbaka | random: jag tillbaka ringer
1.00 | 0.00
ours: ryggar jag tillbaka | random: ryggar jag tillbaka
0.00 | 0.00
ours: jag sa ingenting | random: sa ingenting jag
1.00 | 0.33
ours: sa jag kanske | random: jag kanske sa
0.00 | 0.00
ours: jag sa nej | random: nej jag sa
1.00 | 0.33
ours: sluta jag sa | random: jag sluta sa
0.33 | 0.00
ours: jag saknade henne | random: saknade jag henne
1.00 | 0.00
ours: jag ser dej | random: ser dej jag
1.00 | 0.33
ours: jag ska bara | random: jag bara ska
1.00 | 0.00
ours: jag ska sova | random: sova ska jag
1.00 | 0.00
ours: jag ska ut | random: ska ut jag
1.00 | 0.33
ours: jag suckar inombords | random: jag suckar inombords
1.00 | 1.00
ours: jag suckar lite | random: jag suckar lite
1.00 | 1.00
ours: jag svarar inte | random: jag svarar inte
1.00 | 1.00
ours: jag tappade bollen | random: bollen jag tappade
1.00 | 0.33
ours: jag tar sats | random: tar sats jag
1.00 | 0.33
ours: jag tittade upp | random: upp jag tittade
1.00 | 0.33
ours: jag tog den | random: jag tog den
1.00 | 1.00
ours: trodde jag inte | random: trodde jag inte
0.00 | 0.00
ours: jag tror det | random: det tror jag
1.00 | 0.00
ours: tror jag inte | random: inte tror jag
0.00 | 0.00
ours: jag var besviken | random: jag besviken var
1.00 | 0.00
ours: jag var detektiv | random: var jag detektiv
1.00 | 0.00
ours: jag var privatdetektiv | random: jag privatdetektiv var
1.00 | 0.00
ours: jag var tyst | random: tyst jag var
1.00 | 0.33
ours: jag vet det | random: jag vet det
1.00 | 1.00
ours: jag vet inte | random: vet jag inte
1.00 | 0.00
ours: jag vill inte | random: inte jag vill
1.00 | 0.33
ours: jag vill tala | random: vill jag tala
1.00 | 0.00
ours: jag vill veta | random: jag vill veta
1.00 | 1.00
ours: det visste jag | random: visste det jag
0.00 | 0.33
ours: jag visste inte | random: inte visste jag
1.00 | 0.00
ours: jaha sa han | random: han sa jaha
1.00 | 0.00
ours: jaha sa jag | random: jaha sa jag
1.00 | 1.00
ours: jaha sa morfar | random: sa jaha morfar
1.00 | 0.00
ours: du skratta jahaja | random: skratta du jahaja
0.00 | 0.33
ours: farbrorn suckar jahaja | random: suckar farbrorn jahaja
0.00 | 0.33
ours: kajsa kul jaja | random: kajsa kul jaja
0.00 | 0.00
ours: jaja sa hon | random: sa hon jaja
1.00 | 0.33
ours: springande kom jake | random: springande jake kom
0.00 | 0.33
ours: skratt hesa jalles | random: jalles skratt hesa
0.00 | 0.00
ours: jag sa japp | random: jag japp sa
0.00 | 0.33
ours: it kiip jast | random: kiip jast it
0.00 | 0.00
ours: ja han javisst | random: ja javisst han
0.33 | 0.00
ours: javisst sa ditte | random: sa ditte javisst
1.00 | 0.33
ours: javisst sa farfar | random: javisst farfar sa
1.00 | 0.00
ours: javisst sa hon | random: javisst sa hon
1.00 | 1.00
ours: javisst sa percy | random: percy sa javisst
1.00 | 0.00
ours: jenny har ringt | random: har jenny ringt
1.00 | 0.00
ours: jag sa jm | random: jag sa jm
0.00 | 0.00
ours: jo jag vet | random: vet jo jag
1.00 | 0.33
ours: jo mycket riktigt | random: jo riktigt mycket
1.00 | 0.00
ours: jo jag nickar | random: nickar jag jo
0.00 | 0.33
ours: jo sa felix | random: felix jo sa
1.00 | 0.33
ours: jo sa han | random: han jo sa
1.00 | 0.33
ours: joakim skrek jo | random: jo skrek joakim
0.33 | 1.00
ours: och du joakim | random: joakim du och
0.00 | 1.00
ours: joakim ryckte till | random: ryckte till joakim
1.00 | 0.33
ours: allan sa joakim | random: sa joakim allan
0.00 | 0.00
ours: johan och frank | random: johan frank och
1.00 | 0.00
ours: wallin olof johan | random: olof wallin johan
0.00 | 0.33
ours: pengar hade john | random: john hade pengar
0.00 | 1.00
ours: johnny nilsson socialdemokrat | random: socialdemokrat nilsson johnny
1.00 | 0.00
ours: jag sa johnny | random: jag johnny sa
0.00 | 0.33
ours: jonas andersson folkpartist | random: andersson folkpartist jonas
1.00 | 0.33
ours: direkt reagerar jonathan | random: reagerar direkt jonathan
0.00 | 0.33
ours: jonathan svarar inte | random: jonathan inte svarar
1.00 | 0.00
ours: mormor sa joo | random: sa joo mormor
0.00 | 0.00
ours: jordbruksminister sedan NUMBER | random: sedan jordbruksminister NUMBER
1.00 | 0.00
ours: wiker oro jordens | random: wiker oro jordens
0.00 | 0.00
ours: jubelidiotiska helt enkelt | random: jubelidiotiska enkelt helt
1.00 | 0.00
ours: upp delades jugoslavien | random: upp jugoslavien delades
0.00 | 0.33
ours: ja just det | random: just ja det
0.33 | 0.00
ours: just det nycklarna | random: nycklarna det just
1.00 | 0.00
ours: justitieminister sedan NUMBER | random: justitieminister NUMBER sedan
1.00 | 0.00
ours: mamma sa kaffebryggaren | random: mamma sa kaffebryggaren
0.00 | 0.00
ours: kajsa var besviken | random: kajsa var besviken
1.00 | 1.00
ours: det kan duga | random: det kan duga
0.00 | 0.00
ours: du kan ingenting | random: du ingenting kan
0.00 | 0.33
ours: kan inte du | random: kan du inte
0.00 | 1.00
ours: du kan kontakta | random: du kontakta kan
0.00 | 0.33
ours: du kan multiplikationstabellen | random: kan du multiplikationstabellen
0.00 | 1.00
ours: det kan han | random: han det kan
0.33 | 0.33
ours: hon kan hoppa | random: hoppa kan hon
0.00 | 0.33
ours: kan vi inte | random: kan vi inte
1.00 | 1.00
ours: vi kan ses | random: ses kan vi
0.00 | 0.33
ours: till exempel kaniner | random: kaniner exempel till
0.33 | 0.00
ours: jonathan svarar kanon | random: jonathan kanon svarar
0.00 | 0.33
ours: kanske en professor | random: professor en kanske
1.00 | 0.00
ours: kanske kanske inte | random: kanske inte kanske
1.00 | 0.33
ours: hon sover kanske | random: hon sover kanske
0.00 | 0.00
ours: pang NUMBER kapitel | random: pang kapitel NUMBER
0.00 | 0.33
ours: karin engdahl socialdemokrat | random: karin engdahl socialdemokrat
1.00 | 1.00
ours: berg oskar karl | random: oskar karl berg
0.00 | 0.00
ours: farfar sa kasta | random: farfar kasta sa
0.00 | 0.33
ours: inte vaknade katten | random: inte vaknade katten
0.00 | 0.00
ours: reser sig killarna | random: sig reser killarna
0.33 | 0.00
ours: blickar utbytte killarna | random: utbytte killarna blickar
0.00 | 0.00
ours: kille menar du | random: menar kille du
1.00 | 0.00
ours: tung var kistan | random: tung var kistan
0.00 | 0.00
ours: klack klack klack | random: klack klack klack
1.00 | 1.00
ours: min bror klagade | random: min bror klagade
0.33 | 0.33
ours: klarar du dig | random: du klarar dig
1.00 | 0.00
ours: klart jag kan | random: kan klart jag
1.00 | 0.33
ours: klart vi ska | random: ska klart vi
1.00 | 0.33
ours: klasse hade skrattat | random: skrattat klasse hade
1.00 | 0.33
ours: klubbledningen sade nej | random: nej sade klubbledningen
1.00 | 0.00
ours: jonathan svarar knappast | random: knappast jonathan svarar
0.00 | 0.00
ours: tinki inki kolla | random: tinki kolla inki
0.00 | 0.33
ours: alla kom flickor | random: flickor kom alla
0.00 | 0.33
ours: allihop kom fram | random: fram kom allihop
0.33 | 0.00
ours: genast kom upp | random: genast upp kom
0.00 | 0.33
ours: percy kom hit | random: percy hit kom
0.33 | 0.00
ours: tess kom hit | random: kom tess hit
0.33 | 0.00
ours: kom igen kajsa | random: igen kom kajsa
1.00 | 0.00
ours: kom igen nu | random: nu igen kom
1.00 | 0.00
ours: kom igen passa | random: kom passa igen
1.00 | 0.00
ours: kom igen ponny | random: igen kom ponny
1.00 | 0.00
ours: kom igen tess | random: igen tess kom
1.00 | 0.33
ours: kom igen tessa | random: kom igen tessa
1.00 | 1.00
ours: kom inte hit | random: hit inte kom
1.00 | 0.00
ours: nu kom lisa | random: lisa nu kom
0.00 | 0.00
ours: nu kom mormor | random: kom nu mormor
0.00 | 1.00
ours: sara kom nu | random: sara kom nu
0.33 | 0.33
ours: nu kom segpropp | random: segpropp nu kom
0.00 | 0.00
ours: nu kom syrran | random: nu kom syrran
0.00 | 0.00
ours: nu kom tessa | random: kom nu tessa
0.00 | 1.00
ours: nu kom tina | random: tina nu kom
0.00 | 0.00
ours: sa han kom | random: han kom sa
0.33 | 0.33
ours: kom hon sa | random: sa kom hon
0.00 | 0.00
ours: kom till mig | random: mig kom till
1.00 | 0.33
ours: genast kom tillbaka | random: tillbaka genast kom
0.33 | 0.33
ours: myran viskade kom | random: myran viskade kom
0.00 | 0.00
ours: det kommer fler | random: kommer det fler
0.00 | 1.00
ours: kommer du felix | random: felix kommer du
1.00 | 0.33
ours: sent kommer hem | random: kommer hem sent
0.33 | 1.00
ours: ditte sa konstigt | random: konstigt sa ditte
0.00 | 1.00
ours: havsspegel heter konstverket | random: konstverket havsspegel heter
0.00 | 0.00
ours: kansli kallas kontoret | random: kallas kontoret kansli
0.00 | 0.00
ours: kontrar snabbt jonathan | random: kontrar jonathan snabbt
0.00 | 1.00
ours: kors i taket | random: taket i kors
1.00 | 0.00
ours: kulturminister sedan NUMBER | random: NUMBER kulturminister sedan
1.00 | 0.33
ours: kvar i stallet | random: stallet i kvar
1.00 | 0.00
ours: jag tror kyckling | random: jag kyckling tror
0.00 | 0.33
ours: biobankslagen heter lagen | random: biobankslagen lagen heter
0.00 | 0.33
ours: larva dig inte | random: inte dig larva
1.00 | 0.00
ours: erik mumlade ledsen | random: erik mumlade ledsen
0.00 | 0.00
ours: leif blomqvist socialdemokrat | random: leif socialdemokrat blomqvist
1.00 | 0.00
ours: sa jag lever | random: jag sa lever
0.33 | 0.00
ours: ligg alldeles stilla | random: ligg alldeles stilla
1.00 | 1.00
ours: bara stilla ligg | random: ligg stilla bara
0.00 | 1.00
ours: jag heter lilian | random: heter lilian jag
0.00 | 0.00
ours: mormor rultiga lilla | random: rultiga mormor lilla
0.00 | 0.33
ours: linan var tom | random: tom linan var
1.00 | 0.33
ours: linus kom sist | random: kom linus sist
1.00 | 0.00
ours: lisa blev ledsen | random: lisa blev ledsen
1.00 | 1.00
ours: lisa bryter tystnaden | random: tystnaden bryter lisa
1.00 | 0.00
ours: misty tar lisa | random: tar misty lisa
0.00 | 0.33
ours: mej lova det | random: lova det mej
0.00 | 0.00
ours: lova mig det | random: lova det mig
1.00 | 0.00
ours: du det lovade | random: det lovade du
0.33 | 0.33
ours: love blir arg | random: love arg blir
1.00 | 0.00
ours: jag heter love | random: heter love jag
0.00 | 0.00
ours: love kommer efter | random: love kommer efter
1.00 | 1.00
ours: love love mumlar | random: love mumlar love
0.33 | 1.00
ours: melissa och love | random: melissa love och
0.00 | 0.33
ours: love suckar lite | random: lite suckar love
1.00 | 0.00
ours: love svarar inte | random: svarar love inte
1.00 | 0.00
ours: tittar upp love | random: upp love tittar
0.33 | 0.33
ours: love vinkar tillbaka | random: tillbaka love vinkar
1.00 | 0.33
ours: ludde kan hoppa | random: hoppa ludde kan
1.00 | 0.33
ours: svarar inte ludde | random: svarar inte ludde
0.33 | 0.33
ours: luften stod stilla | random: luften stilla stod
1.00 | 0.00
ours: lugn lugn lugn | random: lugn lugn lugn
1.00 | 1.00
ours: lugn och ro | random: och lugn ro
1.00 | 0.00
ours: ditte sa lugn | random: lugn sa ditte
0.00 | 1.00
ours: morfar sa lugn | random: sa morfar lugn
0.00 | 0.33
ours: lycka till nu | random: nu lycka till
1.00 | 0.33
ours: glad och lycklig | random: glad och lycklig
0.00 | 0.00
ours: staffan hojtar lyssna | random: lyssna hojtar staffan
0.00 | 1.00
ours: nu lyssna noga | random: lyssna nu noga
0.33 | 0.00
ours: nu lyssna noga | random: noga lyssna nu
0.00 | 0.33
ours: spanade och lyssnade | random: och spanade lyssnade
0.00 | 0.33
ours: frederic och magnet | random: frederic magnet och
0.00 | 0.33
ours: fnissar till maja | random: maja till fnissar
0.33 | 0.00
ours: generat fnissar majsan | random: majsan generat fnissar
0.00 | 0.00
ours: till frustar majsan | random: frustar majsan till
0.00 | 0.00
ours: blekt ler majsan | random: blekt ler majsan
0.00 | 0.00
ours: majsan ler lite | random: majsan ler lite
1.00 | 1.00
ours: matt ler majsan | random: matt ler majsan
0.00 | 0.00
ours: lydigt nickar majsan | random: majsan lydigt nickar
0.00 | 0.00
ours: majsan skrattar till | random: skrattar till majsan
1.00 | 0.33
ours: tungt suckar majsan | random: tungt majsan suckar
0.00 | 0.33
ours: majsan svarar inte | random: svarar majsan inte
1.00 | 0.00
ours: faktiskt tystnar majsan | random: majsan faktiskt tystnar
0.00 | 0.00
ours: malte klarade sig | random: sig klarade malte
1.00 | 0.00
ours: bara mamma skrattade | random: skrattade bara mamma
0.00 | 0.00
ours: bara mamma skrattar | random: mamma bara skrattar
0.00 | 1.00
ours: lucialinne i mamma | random: mamma i lucialinne
0.00 | 1.00
ours: mamma kommer sist | random: mamma sist kommer
1.00 | 0.00
ours: mamma lagar mat | random: lagar mamma mat
1.00 | 0.00
ours: bara mamma lyssnade | random: bara mamma lyssnade
0.33 | 0.33
ours: bilen rivstartar mamma | random: rivstartar mamma bilen
0.00 | 0.00
ours: ropade hon mamma | random: mamma hon ropade
0.33 | 0.00
ours: liksom sjunker man | random: liksom sjunker man
0.33 | 0.33
ours: mannen blev skjuten | random: mannen skjuten blev
1.00 | 0.00
ours: mannen hade tur | random: tur hade mannen
1.00 | 0.00
ours: mannen kom efter | random: efter kom mannen
1.00 | 0.00
ours: mannen skrattar igen | random: mannen igen skrattar
1.00 | 0.00
ours: log bara manuel | random: manuel bara log
0.00 | 1.00
ours: tacksamt log manuel | random: tacksamt manuel log
0.00 | 0.33
ours: manuel sa inget | random: inget sa manuel
1.00 | 0.00
ours: maria svarar inte | random: maria svarar inte
1.00 | 1.00
ours: le slutade marko | random: slutade marko le
0.00 | 0.00
ours: martin andreasson moderat | random: andreasson martin moderat
1.00 | 0.00
ours: sitt lyfter martin | random: martin sitt lyfter
0.00 | 0.00
ours: lite rodnar martina | random: lite martina rodnar
0.00 | 0.33
ours: matchen var slut | random: var slut matchen
1.00 | 0.33
ours: matchstart klockan NUMBER | random: klockan NUMBER matchstart
1.00 | 0.33
ours: med det verkliga | random: verkliga med det
